都道府県,第1次産業,第2次産業,第3次産業(A)流通・サービス,第3次産業(B)知識・専門職,第三次産業(C)公共・安全系
北海道,5.9,14.7,37.8,38.4,3.2
青森県,10.8,17.9,35.3,32.5,3.5
岩手県,9.2,21,33.7,34.3,1.7
宮城県,3.8,17.5,40.7,35.6,2.2
秋田県,8.1,20.8,34.4,34.7,1.9
山形県,8.4,23.4,32.4,34,1.8
福島県,6,24,33.6,34.5,1.9
茨城県,5.2,22.5,33.3,37.1,1.9
栃木県,5.1,23.9,33.2,36.1,1.5
群馬県,4.4,24.9,33.9,35.4,1.5
埼玉県,1.5,17.1,37.2,42.1,2.1
千葉県,2.4,14.1,37.5,43.8,2.2
東京都,0.4,9.2,33.6,55.1,1.8
神奈川県,0.8,13.5,35.8,47.8,2
新潟県,4.8,22.7,34.8,35.8,1.7
富山県,2.9,25.7,33.1,36.9,1.4
石川県,2.5,22.2,35.9,37.6,1.9
福井県,3.1,25.2,32.1,37.8,1.8
山梨県,6.7,21.5,33.3,36.7,1.8
長野県,8,22,32.3,36.3,1.2
岐阜県,2.7,25.4,33.6,36.7,1.6
静岡県,3.4,24.5,34.3,35.9,1.9
愛知県,1.8,23.3,34.4,39.1,1.5
三重県,3.1,25.5,34.1,35.6,1.7
滋賀県,2.5,24.5,32.7,38.8,1.6
京都府,1.9,16.7,37.3,41.9,2.3
大阪府,0.5,16,39.1,42.9,1.6
兵庫県,1.8,18.1,36.4,41.9,1.9
奈良県,2.3,16.2,36.2,43.2,1.9
和歌山県,7.9,18.6,35.7,36,1.9
鳥取県,7.4,18.9,33.4,38,2.3
島根県,6.3,20.4,33,38.2,2.1
岡山県,4,22.1,34.4,37.9,1.5
広島県,2.6,20.3,35.8,38.9,2.3
山口県,4,21.7,34.3,37.6,2.5
徳島県,7.4,19.6,32.8,38.4,1.9
香川県,4.7,20.1,34.7,38.5,1.8
愛媛県,6.5,19.8,35.2,36.9,1.5
高知県,9.6,15.3,35,38.1,2
福岡県,2.3,16.1,37.9,41.6,2
佐賀県,7.3,20.1,33.9,36.8,2
長崎県,6.5,17.6,36.2,36.4,3.4
熊本県,8.3,17.6,34.4,37.7,2
大分県,5.8,19.7,35.1,37.4,2
宮崎県,9.2,18.1,33.5,37.1,2
鹿児島県,7.9,17,36,37.2,2
沖縄県,3.9,13.6,38.2,41,3.1
